shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
1,{6aae5277-0000-4103-afd4-103464ac0001},0,0,21,1789809271.026384115,228.856842,317.842194,13.628086,0.453531,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,1,22,1789809271.031919003,235.136642,328.889160,15.945404,0.150027,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,2,24,1789809271.042994976,250.827515,319.516144,15.255455,0.242098,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,3,25,1789809271.048511028,263.026794,308.745056,13.385601,0.201774,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,4,26,1789809271.054039001,267.388336,290.122437,11.120590,0.817099,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,5,28,1789809271.065112114,273.549072,261.513794,9.939770,0.848800,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,6,30,1789809271.076169968,279.235168,238.367859,9.800543,0.375154,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,7,32,1789809271.087243080,282.690491,216.316589,6.787349,0.502606,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,9,34,1789809271.098280907,289.077148,201.739716,7.594457,0.709466,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,11,36,1789809271.109352112,260.055939,333.967163,13.797180,0.343937,1.000000
