shot_id,guid,page_sequence,index,buf_idx,flags,time_tick,time_seconds,n,az_deg,el_deg,radial_velocity_mps,dist_m,sync_idx,sync_buf,snr,peak,az1_deg,az2_deg,az3_deg,el1_deg,el2_deg,pk0,pk1,pk2,pk3,pk4,pk5
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,0,6,9,62377,1.665465900,0.000000000,5.100000,-0.490000,26.310000,0.000000,0,-1,86,908,5.100000,5.110000,0.000000,-0.500000,-0.490000,87.449551,101.289749,83.172321,74.660778,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,32,8,9,62409,1.666320300,0.000850000,5.140000,-0.530000,26.560000,0.000000,0,-1,161,907,5.110000,5.170000,0.000000,-0.570000,-0.500000,162.500143,186.033249,154.987574,143.362284,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,64,9,9,62441,1.667174700,0.001700000,5.150000,-0.540000,26.700000,0.000000,0,-1,258,906,5.120000,5.190000,0.000000,-0.580000,-0.510000,256.065130,293.834209,249.488354,233.095884,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,96,10,9,62473,1.668029100,0.002560000,5.130000,-0.520000,26.780000,0.000000,0,-1,364,906,5.090000,5.170000,0.000000,-0.560000,-0.480000,355.805159,411.474705,357.160568,335.268974,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},4,128,10,9,62505,1.668883500,0.003410000,5.080000,-0.480000,26.810000,0.000000,0,-1,470,906,5.050000,5.120000,0.000000,-0.530000,-0.450000,449.738503,523.335934,468.865633,440.387726,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},4,160,11,9,62537,1.669737900,0.004260000,5.040000,-0.450000,26.800000,0.000000,0,-1,564,906,5.000000,5.080000,0.000000,-0.490000,-0.410000,527.755022,615.518093,575.532913,539.684296,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},4,192,12,9,62569,1.670592300,0.005120000,5.000000,-0.410000,26.780000,0.000000,0,-1,636,906,4.960000,5.050000,0.000000,-0.460000,-0.370000,579.736233,675.864220,665.725470,623.103380,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},4,224,13,9,62601,1.671446700,0.005970000,4.980000,-0.370000,26.790000,0.000000,0,-1,673,906,4.940000,5.030000,0.000000,-0.420000,-0.330000,595.982075,693.689585,725.888014,679.270029,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},8,256,12,9,62633,1.672301100,0.006820000,4.970000,-0.310000,26.830000,0.000000,0,-1,672,906,4.940000,5.010000,0.000000,-0.350000,-0.280000,572.456121,668.212175,747.743845,702.826977,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},8,288,10,9,62665,1.673155500,0.007680000,4.950000,-0.220000,26.910000,0.000000,0,-1,644,906,4.930000,4.970000,0.000000,-0.240000,-0.200000,521.024466,613.815784,740.979910,701.152086,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},8,320,8,9,62697,1.674009900,0.008530000,4.890000,-0.250000,26.950000,0.000000,0,-1,601,905,4.890000,4.900000,0.000000,-0.260000,-0.250000,457.153320,544.238091,720.278025,684.292316,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},8,352,6,9,62729,1.674864300,0.009380000,4.840000,-0.110000,26.940000,0.000000,0,-1,547,905,4.860000,4.830000,0.000000,-0.100000,-0.120000,387.432575,464.183092,688.080788,653.362274,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},12,384,6,9,62761,1.675718700,0.010240000,4.800000,0.350000,26.880000,0.000000,0,-1,484,906,4.840000,4.770000,0.000000,0.390000,0.310000,317.435265,379.173756,641.512871,606.421232,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},12,416,5,9,62793,1.676573100,0.011090000,4.800000,0.790000,26.820000,0.000000,0,-1,413,906,4.870000,4.740000,0.000000,0.860000,0.720000,251.913071,296.087265,576.690435,542.411804,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},12,448,5,9,62825,1.677427500,0.011940000,4.840000,1.510000,26.800000,0.000000,0,-1,339,906,4.950000,4.730000,0.000000,1.630000,1.400000,193.197727,220.977068,495.709181,465.390682,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},12,480,4,9,62857,1.678281900,0.012800000,4.860000,2.550000,26.820000,0.000000,0,-1,274,906,5.010000,4.710000,0.000000,2.700000,2.400000,148.841143,166.050196,413.100719,388.780832,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},16,512,4,9,62889,1.679136300,0.013650000,4.800000,3.690000,26.840000,0.000000,0,-1,230,906,4.930000,4.680000,0.000000,3.820000,3.580000,126.962662,138.159990,345.491171,325.077772,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},16,544,5,9,62921,1.679990700,0.014500000,4.670000,4.670000,26.830000,0.000000,0,-1,207,906,4.700000,4.660000,0.000000,4.700000,4.650000,125.144720,132.454634,299.762487,279.492140,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},16,576,6,9,62953,1.680845100,0.015360000,4.570000,5.370000,26.790000,0.000000,0,-1,197,906,4.490000,4.660000,0.000000,5.290000,5.460000,135.527849,139.588118,271.198750,248.866081,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},16,608,6,9,62985,1.681699500,0.016210000,4.530000,5.840000,26.750000,0.000000,0,-1,194,906,4.380000,4.690000,0.000000,5.690000,6.000000,150.531530,151.680708,250.329971,227.298737,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},20,640,6,9,63017,1.682553900,0.017060000,4.540000,6.110000,26.760000,0.000000,0,-1,191,906,4.360000,4.720000,0.000000,5.940000,6.300000,163.457394,163.393021,230.164528,210.283995,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},20,672,7,9,63049,1.683408300,0.017920000,4.560000,6.200000,26.840000,0.000000,0,-1,187,906,4.400000,4.720000,0.000000,6.050000,6.370000,171.326399,173.203945,210.484266,196.646452,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},20,704,8,9,63081,1.684262700,0.018770000,4.520000,6.270000,26.940000,0.000000,0,-1,185,905,4.410000,4.630000,0.000000,6.170000,6.390000,176.962614,182.533264,195.435286,187.228918,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},20,736,8,9,63113,1.685117100,0.019620000,4.500000,6.080000,27.020000,0.000000,0,-1,186,905,4.420000,4.590000,0.000000,6.000000,6.170000,183.154345,191.829205,188.082457,182.917118,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},24,768,8,9,63145,1.685971500,0.020480000,4.470000,5.870000,27.070000,0.000000,0,-1,191,905,4.390000,4.560000,0.000000,5.790000,5.960000,191.298723,201.178789,189.315081,184.261799,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},24,800,8,9,63177,1.686825900,0.021330000,4.460000,5.690000,27.070000,0.000000,0,-1,199,905,4.350000,4.580000,0.000000,5.580000,5.810000,202.887058,211.421251,195.627213,189.253092,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},24,832,8,9,63209,1.687680300,0.022180000,4.490000,5.600000,27.050000,0.000000,0,-1,208,905,4.340000,4.640000,0.000000,5.460000,5.750000,215.808153,221.230984,201.269388,193.880796,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},24,864,7,9,63241,1.688534700,0.023040000,4.530000,5.570000,27.040000,0.000000,0,-1,212,905,4.360000,4.710000,0.000000,5.400000,5.750000,225.180387,227.484703,201.640129,195.765495,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},28,896,6,9,63273,1.689389100,0.023890000,4.570000,5.550000,27.040000,0.000000,0,-1,211,905,4.410000,4.740000,0.000000,5.390000,5.720000,227.849483,228.992701,193.823576,193.393230,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},28,928,5,9,63305,1.690243500,0.024740000,4.570000,5.530000,27.060000,0.000000,0,-1,205,905,4.460000,4.680000,0.000000,5.420000,5.640000,224.801302,228.477716,180.324316,186.846256,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},28,960,4,9,63337,1.691097900,0.025600000,4.500000,5.510000,27.060000,0.000000,0,-1,198,905,4.500000,4.520000,0.000000,5.500000,5.530000,218.303204,228.117704,168.656111,179.929733,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},28,992,4,9,63369,1.691952300,0.026450000,4.410000,5.480000,27.060000,0.000000,0,-1,194,905,4.480000,4.360000,0.000000,5.550000,5.430000,211.262703,229.103565,163.210630,175.336599,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1024,4,9,63401,1.692806700,0.027300000,4.310000,5.440000,27.060000,0.000000,0,-1,193,905,4.410000,4.230000,0.000000,5.540000,5.350000,206.335783,231.524706,162.743330,171.537399,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1056,4,9,63433,1.693661100,0.028160000,4.240000,5.400000,27.090000,0.000000,0,-1,192,905,4.330000,4.150000,0.000000,5.490000,5.310000,203.619003,234.746933,164.045095,167.101622,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1088,5,9,63465,1.694515500,0.029010000,4.190000,5.350000,27.130000,0.000000,0,-1,192,905,4.270000,4.120000,0.000000,5.430000,5.280000,201.665163,238.519907,164.693594,163.476467,0.000000,0.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},32,1120,5,9,63497,1.695369900,0.029860000,4.120000,5.300000,27.150000,0.000000,0,-1,192,904,4.170000,4.080000,0.000000,5.350000,5.260000,200.487375,243.110657,163.874626,162.431002,0.000000,0.000000
